Dur	DstPkts	SrcBytes	DstBytes	Rate	sTtl	dTtl	SrcLoad	DstLoad	sMeanPktSz	dMeanPktSz	ct_src_sport_ltm	ct_dst_src_ltm	ct_src_dport_ltm	ct_dst_ltm	ct_state_ttl
0.000926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			1	1	1	1	0
0.000000	8.0	9672.0	416.0	0.0	29.0	31.0	0.0	0.0	879.272705	52.0	1	1	1	1	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	1	1	0
0.000000	12.0	528.0	8824.0	0.0	31.0	29.0	0.0	0.0	52.799999	735.333313	1	1	1	1	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	1	2	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	1	1	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	1	1	0
0.000000	42.0	37914.0	3380.0	0.0	31.0	29.0	0.0	0.0	702.111084	80.476189	1	1	1	2	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	1	1	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	1	2	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	1	1	0
0.000000	8.0	690.0	1272.0	0.0	31.0	29.0	0.0	0.0	172.5	159.0	1	1	1	2	0
0.000000	2.0	146.0	178.0	0.0	31.0	29.0	0.0	0.0	73.0	89.0	1	1	2	1	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	1	1	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	3	3	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	2	2	2	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	1	3	0
0.000000	12.0	424.0	8824.0	0.0	31.0	29.0	0.0	0.0	53.0	735.333313	1	2	1	2	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	1	1	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	2	1	3	0
211412480*	0.0	0.0	0.0	0.0	0.0						1	1	3	24	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	1	4	0
0.000000	146.0	2.0	2.0	0.0	0.0	0.0	0.011236	0.013699			1	1	1	2	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	1	4	0
160769638*	0.0	0.0	0.0	0.0	0.0						1	3	2	17	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	1	2	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	1	3	0
0.000000	4.0	544.0	304.0	0.0	31.0	29.0	0.0	0.0	136.0	76.0	1	2	1	4	0
0.000000	18.0	3936.0	2456.0	0.0	31.0	29.0	0.0	0.0	218.666672	136.444443	1	3	1	5	0
0.000000	36.0	2230.0	13500.0	0.0	31.0	29.0	0.0	0.0	65.588234	375.0	1	1	1	1	0
0.000000	86.0	4862.0	75600.0	0.0	31.0	29.0	0.0	0.0	57.880951	879.069763	1	1	1	1	0
0.000000	24.0	1958.0	2308.0	0.0	31.0	29.0	0.0	0.0	89.0	96.166664	1	1	1	6	0
0.000000	31.0	29.0	0.0	0.0	637.714294	53.0					1	1	1	1	0
0.000000	2.0	146.0	178.0	0.0	31.0	29.0	0.0	0.0	73.0	89.0	1	1	1	4	0
0.000000	18.0	1580.0	10168.0	0.0	31.0	29.0	0.0	0.0	131.666672	564.888916	1	2	1	5	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	2	2	5	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	2	2	2	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	4	3	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	2	1	0
0.000000	6.0	1006.0	268.0	0.0	254.0	252.0	0.0	0.0	100.599998	44.666668	1	1	1	1	1
0.000000	4.0	568.0	304.0	0.0	31.0	29.0	0.0	0.0	142.0	76.0	1	1	1	3	0
0.000000	0.0	31.0	29.0	0.0	0.0	0.0	0.0				1	2	1	4	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	3	1	5	0
0.000000	36.0	2230.0	13500.0	0.0	31.0	29.0	0.0	0.0	65.588234	375.0	1	1	1	7	0
0.000000	86.0	4862.0	75600.0	0.0	31.0	29.0	0.0	0.0	57.880951	879.069763	1	1	1	3	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	2	1	5	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	1	2	0
0.000000	0.0	0.0	1.0	0.0	0.0	64.0	0.0				1	1	1	1	0
0.000000	0.0	0.0	1.0	0.0	0.0	64.0	0.0				2	1	1	2	0
0.000000	4.0	568.0	304.0	0.0	31.0	29.0	0.0	0.0	142.0	76.0	1	3	1	4	0
0.000000	4.0	544.0	304.0	0.0	31.0	29.0	0.0	0.0	136.0	76.0	1	4	1	5	0
0.000000	28.0	4456.0	2976.0	0.0	31.0	29.0	0.0	0.0	159.142853	106.285713	1	5	1	6	0
0.000000	0.0	0.0	0.0	0.0	31.0	29.0	0.0	0.0	0.0	0.0	1	1	1	8	0
0.000000	4.0	544.0	304.0	0.0	31.0	29.0	0.0	0.0	136.0	76.0	1	2	1	9	0
0.000000	2.0	132.0	164.0	0.0	31.0	29.0	0.0	0.0	66.0	82.0	1	2	5	6	0
0.000000	10.0	1048.0	824.0	0.0	31.0	29.0	0.0	0.0	131.0	82.400002	1	2	3	10	0
0.000000	0.0	0.0	0.0	0.0	31.0	29.0	0.0	0.0	0.0	0.0	1	1	1	3	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	2	2	4	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	3	3	5	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	4	4	6	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	5	5	7	0
0.000000	438.0	13350.0	548216.0	0.0	31.0	29.0	0.0	0.0	57.543102	1251.634644	1	6	6	8	0
0.000000	30.0	4456.0	3080.0	0.0	31.0	29.0	0.0	0.0	159.142853	102.666664	1	3	1	11	0
0.000000	24.0	3728.0	5474.0	0.0	31.0	29.0	0.0	0.0	116.5	228.083328	1	1	1	6	0
0.000000	24.0	1958.0	2308.0	0.0	31.0	29.0	0.0	0.0	89.0	96.166664	1	1	1	9	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	1	4	0
0.000000	8.0	564.0	354.0	0.0	254.0	252.0	0.0	0.0	56.400002	44.25	1	1	1	1	1
0.000000	4.0	568.0	304.0	0.0	31.0	29.0	0.0	0.0	142.0	76.0	1	1	2	6	0
0.000000	0.0	31.0	29.0	0.0	0.0	0.0	0.0				1	1	1	7	0
0.000000	42.0	37914.0	3380.0	0.0	31.0	29.0	0.0	0.0	702.111084	80.476189	1	1	1	2	0
0.000000	24.0	2062.0	2308.0	0.0	31.0	29.0	0.0	0.0	85.916664	96.166664	1	2	1	7	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	2	1	7	0
0.000000	0.0	0.0	0.0	0.0	31.0	29.0	0.0	0.0	0.0	0.0	1	1	1	7	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	3	1	8	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	4	1	9	0
0.000000	18.0	1684.0	10168.0	0.0	31.0	29.0	0.0	0.0	120.285713	564.888916	1	4	1	12	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	1	3	0
0.000000	0.0	31.0	29.0	0.0	0.0	0.0	0.0				1	1	1	5	2
0.000000	0.0	0.0	0.0	0.0	0.0						1	2	1	4	0
0.000000	86.0	4966.0	75600.0	0.0	31.0	29.0	0.0	0.0	57.744186	879.069763	1	1	1	10	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	2	2	8	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	2	6	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	1	3	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	3	1	5	0
0.000000	66.0	3806.0	54798.0	0.0	31.0	29.0	0.0	0.0	59.46875	830.272705	1	4	1	6	0
0.000000	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0		1	2	1	6	0
0.000000	2.0	146.0	178.0	0.0	31.0	29.0	0.0	0.0	73.0	89.0	1	1	1	7	0
0.000000	44.0	37914.0	3484.0	0.0	31.0	29.0	0.0	0.0	702.111084	79.181816	1	2	1	11	0
0.000000	20.0	3034.0	1648.0	0.0	254.0	252.0	0.0	0.0	151.699997	82.400002	1	1	1	1	1
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	1	8	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	3	1	8	0
0.000000	0.0	168.0	0.0	0.0	63.0	0.0	0.0	84.0	0.0		1	1	1	1	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	2	4	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	3	1	7	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	3	12	0
0.000000	4.0	544.0	304.0	0.0	31.0	29.0	0.0	0.0	136.0	76.0	1	2	1	13	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	3	1	14	0
0.000000	36.0	2230.0	13500.0	0.0	31.0	29.0	0.0	0.0	65.588234	375.0	1	1	1	9	0
0.000000	86.0	4862.0	75600.0	0.0	31.0	29.0	0.0	0.0	57.880951	879.069763	1	1	1	8	0
0.000000	2.0	146.0	178.0	0.0	31.0	29.0	0.0	0.0	73.0	89.0	1	2	2	13	0
0.000000	42.0	37914.0	3380.0	0.0	31.0	29.0	0.0	0.0	702.111084	80.476189	1	1	2	10	0
0.000000	2.0	130.0	162.0	0.0	31.0	29.0	0.0	0.0	65.0	81.0	1	2	2	14	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	1	8	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	5	1	15	0
0.000000	2.0	146.0	178.0	0.0	31.0	29.0	0.0	0.0	73.0	89.0	1	1	3	15	0
0.000000	44.0	37914.0	3484.0	0.0	31.0	29.0	0.0	0.0	702.111084	79.181816	1	1	2	9	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	2	4	10	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	2	2	5	0
0.000000	0.0	31.0	29.0	0.0	0.0	0.0	0.0				1	3	6	16	2
0.000000	0.0	0.0	0.0	0.0	0.0						1	4	1	9	0
0.000000	2.0	130.0	162.0	0.0	31.0	29.0	0.0	0.0	65.0	81.0	1	1	1	7	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	2	1	8	0
0.000000	22.0	1186.0	1668.0	0.0	62.0	252.0	0.0	0.0	53.909092	75.818184	1	1	1	1	1
0.000000	0.0	0.0	0.0	0.0	0.0						1	2	3	10	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	2	1	11	0
0.000000	2.0	146.0	178.0	0.0	31.0	29.0	0.0	0.0	73.0	89.0	1	6	4	11	0
0.000000	18.0	1580.0	10168.0	0.0	31.0	29.0	0.0	0.0	131.666672	564.888916	1	1	2	17	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	3	18	0
0.000000	36.0	2230.0	13500.0	0.0	31.0	29.0	0.0	0.0	65.588234	375.0	1	4	1	19	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	5	1	20	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	1	11	0
0.000000	4.0	544.0	304.0	0.0	31.0	29.0	0.0	0.0	136.0	76.0	1	2	1	12	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	3	1	13	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	2	1	12	0
0.000000	16.0	364.0	13870.0	0.0	62.0	252.0	0.0	0.0	45.5	866.875	1	2	1	2	1
0.000000	2.0	146.0	178.0	0.0	31.0	29.0	0.0	0.0	73.0	89.0	1	1	3	9	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	3	2	12	0
0.000000	2.0	130.0	162.0	0.0	31.0	29.0	0.0	0.0	65.0	81.0	1	3	1	14	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	1	13	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	2	2	16	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	2	2	21	0
0.000000	24.0	3728.0	5474.0	0.0	31.0	29.0	0.0	0.0	116.5	228.083328	1	3	1	14	0
0.000000	0.0	168.0	0.0	0.0	254.0	0.0	0.0	84.0	0.0		1	1	2	1	2
0.000000	0.0	0.0	0.0	0.0	0.0						1	3	3	10	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	4	1	10	0
0.000000	0.0	0.0	0.0								1	1	1	1	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	2	22	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	1	13	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	2	9	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	4	9	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	2	1	10	0
0.000000	86.0	4862.0	75600.0	0.0	31.0	29.0	0.0	0.0	57.880951	879.069763	1	1	1	15	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	4	1	10	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	1	1	11	0
0.000000	66.0	3806.0	54798.0	0.0	31.0	29.0	0.0	0.0	59.46875	830.272705	1	2	1	12	0
0.000000	62.0	3614.0	45696.0	0.0	31.0	29.0	0.0	0.0	60.233334	737.032288	1	3	1	11	0
0.000000	126.0	12752.0	13306.0	0.0	31.0	29.0	0.0	0.0	99.625	105.603172	1	2	2	16	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	2	7	12	0
0.000000	0.0	0.0	0.0	0.0	0.0						1	6	4	23	0
0.000000	0.0	254.0	0.0	0.0	0.0	0.0					1	1	1	2	2
0.000000	2.0	146.0	178.0	0.0	31.0	29.0	0.0	0.0	73.0	89.0	1	2	8	11	0
